,V1,V2
gn:T00094,blo,Bifidobacterium longum NCC2705
gn:T00095,pfa,Plasmodium falciparum 3D7
gn:T00096,bms,Brucella suis 1330
gn:T00097,sfl,Shigella flexneri 301 (serotype 2a)
gn:T00098,lil,Leptospira interrogans serovar Lai 56601
gn:T00099,son,Shewanella oneidensis MR-1
gn:T00100,smu,Streptococcus mutans UA159 (serotype c)
gn:T00101,wbr,"Wigglesworthia glossinidia (Wigglesworthia brevipalpis), endosymbiont of Glossina brevipalpis (tsetse fly)"
gn:T00102,cgl,Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
gn:T00103,cef,Corynebacterium efficiens YS-314
gn:T00104,san,Streptococcus agalactiae NEM316 (serotype III)
gn:T00105,ecu,Encephalitozoon cuniculi GB-M1
gn:T00106,ecc,Escherichia coli O6:K2:H1 CFT073 (UPEC)
gn:T00107,mpe,Mycoplasma penetrans HF-2
gn:T00108,vvu,Vibrio vulnificus CMCP6
gn:T00109,bja,Bradyrhizobium diazoefficiens USDA 110 (Bradyrhizobium japonicum USDA110)
gn:T00110,sep,Staphylococcus epidermidis ATCC 12228
gn:T00111,bab,"Buchnera aphidicola Bp, endosymbiont of Baizongia pistaciae"
gn:T00112,ctc,Clostridium tetani E88
gn:T00113,xft,Xylella fastidiosa Temecula1
gn:T00114,ppu,Pseudomonas putida KT2440
gn:T00115,lpl,Lactobacillus plantarum WCFS1
gn:T00116,twh,Tropheryma whipplei Twist
gn:T00117,tws,Tropheryma whipplei TW08/27
gn:T00118,pst,Pseudomonas syringae pv. tomato DC3000
gn:T00119,sps,Streptococcus pyogenes SSI-1 (serotype M3)
gn:T00120,vpa,Vibrio parahaemolyticus RIMD 2210633
gn:T00121,stt,Salmonella enterica subsp. enterica serovar Typhi Ty2
gn:T00122,bth,Bacteroides thetaiotaomicron VPI-5482
gn:T00123,efa,Enterococcus faecalis V583
gn:T00124,cbu,Coxiella burnetii RSA 493
gn:T00125,cca,Chlamydia caviae GPIC
gn:T00126,sma,Streptomyces avermitilis MA-4680
gn:T00127,bce,Bacillus cereus ATCC 14579
gn:T00128,sfx,Shigella flexneri 2457T (serotype 2a)
gn:T00129,ban,Bacillus anthracis Ames
gn:T00130,neu,Nitrosomonas europaea ATCC 19718
gn:T00131,mga,Mycoplasma gallisepticum R(low)
gn:T00132,mbo,Mycobacterium tuberculosis variant bovis AF2122/97 (Mycobacterium bovis AF2122/97)
gn:T00133,hhe,Helicobacter hepaticus ATCC 51449
gn:T00134,rba,Rhodopirellula baltica SH 1 (Pirellula sp. strain 1)
gn:T00135,hdu,Haemophilus ducreyi 35000HP
gn:T00136,cpt,Chlamydia pneumoniae TW-183
gn:T00137,pma,Prochlorococcus marinus subsp. marinus CCMP1375 (Prochlorococcus marinus SS120)
gn:T00138,bfl,"Blochmannia floridanus, endosymbiont of Camponotus floridanus (carpenter ant)"
gn:T00139,bpe,Bordetella pertussis Tohama I
gn:T00140,bpa,Bordetella parapertussis 12822
gn:T00141,bbr,Bordetella bronchiseptica RB50
gn:T00142,pmm,Prochlorococcus marinus subsp. pastoris CCMP1986 (Prochlorococcus marinus MED4)
gn:T00143,pmt,Prochlorococcus marinus MIT 9313
gn:T00144,syw,Synechococcus sp. WH 8102
gn:T00145,pgi,Porphyromonas gingivalis W83
gn:T00146,wsu,Wolinella succinogenes DSM 1740
gn:T00147,cvi,Chromobacterium violaceum ATCC 12472
gn:T00148,gvi,Gloeobacter violaceus PCC 7421
gn:T00149,plu,Photorhabdus laumondii subsp. laumondii TTO1 (Photorhabdus luminescens subsp. laumondii TTO1)
gn:T00150,vvy,Vibrio vulnificus YJ016 (biotype 1)
gn:T00151,cdi,Corynebacterium diphtheriae NCTC 13129
gn:T00152,neq,Nanoarchaeum equitans Kin4-M
gn:T00153,rpa,Rhodopseudomonas palustris CGA009
gn:T00154,poy,Onion yellows phytoplasma OY-M
gn:T00155,gsu,Geobacter sulfurreducens PCA
gn:T00156,mpa,Mycobacterium avium subsp. paratuberculosis K-10
gn:T00157,tde,Treponema denticola ATCC 35405
gn:T00158,ljo,Lactobacillus johnsonii NCC 533
gn:T00159,bba,Bdellovibrio bacteriovorus HD100
gn:T00160,wol,"Wolbachia sp. wMel, endosymbiont of Drosophila melanogaster (fruit fly)"
gn:T00161,mmy,Mycoplasma mycoides subsp. mycoides SC PG1
gn:T00162,bca,Bacillus cereus ATCC 10987
gn:T00163,syc,Synechococcus elongatus PCC 6301
gn:T00164,mmp,Methanococcus maripaludis S2
gn:T00165,ypm,Yersinia pestis 91001 (biovar Microtus)
gn:T00166,lic,Leptospira interrogans serovar Copenhageni Fiocruz L1-130
gn:T00167,ago,Ashbya gossypii (Eremothecium gossypii) ATCC 10895
gn:T00168,cpv,Cryptosporidium parvum Iowa II
gn:T00170,tth,Thermus thermophilus HB27
gn:T00171,dvu,Desulfovibrio vulgaris Hildenborough
gn:T00172,pcu,"Candidatus Protochlamydia amoebophila UWE25 (Parachlamydia sp. UWE25), endosymbiont of Acanthamoeba sp."
gn:T00173,ppr,Photobacterium profundum SS9
gn:T00174,lmf,Listeria monocytogenes F2365 (serotype 4b)
gn:T00175,cme,Cyanidioschyzon merolae 10D
gn:T00176,mmo,Mycoplasma mobile 163K
gn:T00177,pto,Picrophilus torridus DSM 9790
gn:T00178,bar,Bacillus anthracis Ames Ancestor
gn:T00179,btk,Bacillus thuringiensis serovar konkukian 97-27
gn:T00180,bhe,Bartonella henselae Houston-1
gn:T00181,bqu,Bartonella quintana Toulouse
gn:T00182,sar,"Staphylococcus aureus subsp. aureus MRSA252, methicillin-resistant"
gn:T00183,sas,"Staphylococcus aureus subsp. aureus MSSA476, methicillin-susceptible"
gn:T00184,bat,Bacillus anthracis Sterne
gn:T00185,aci,Acinetobacter baylyi ADP1 (Acinetobacter sp. ADP1)
gn:T00186,eca,Pectobacterium atrosepticum SCRI1043
gn:T00187,mfl,Mesoplasma florum L1
gn:T00188,pac,Cutibacterium acnes KPA171202 (Propionibacterium acnes KPA171202)
gn:T00189,cal,Candida albicans SC5314
gn:T00190,lxx,Leifsonia xyli subsp. xyli CTCB07
gn:T00191,spa,Streptococcus pyogenes MGAS10394 (serotype M6)
gn:T00192,dps,Desulfotalea psychrophila LSv54
gn:T00193,rty,Rickettsia typhi Wilmington (ATCC VR-144)
gn:T00194,bga,Borreliella bavariensis PBi (Borrelia garinii PBi)
gn:T00195,yps,Yersinia pseudotuberculosis IP 32953 (serotype I)
gn:T00196,sth,Symbiobacterium thermophilum IAM 14863
gn:T00197,bli,Bacillus licheniformis ATCC 14580
gn:T00198,bcz,Bacillus cereus E33L (zebra killer)
gn:T00199,lpn,Legionella pneumophila subsp. pneumophila Philadelphia 1 (serogroup 1)
gn:T00200,bld,Bacillus licheniformis DSM 13 = ATCC 14580
gn:T00201,msu,Mannheimia succiniciproducens MBEL55E
gn:T00202,bfr,Bacteroides fragilis YCH46
gn:T00203,bps,Burkholderia pseudomallei K96243
gn:T00204,bma,Burkholderia mallei ATCC 23344
gn:T00205,mca,Methylococcus capsulatus Bath
gn:T00206,mhy,Mycoplasma hyopneumoniae 232
gn:T00207,nfa,Nocardia farcinica IFM 10152
gn:T00208,lpf,Legionella pneumophila Lens (serogroup 1)
gn:T00209,lpp,Legionella pneumophila Paris (serogroup 1)
gn:T00210,cho,Cryptosporidium hominis TU502
gn:T00211,hma,Haloarcula marismortui ATCC 43049
gn:T00212,stc,Streptococcus thermophilus CNRZ1066
gn:T00213,stl,Streptococcus thermophilus LMG 18311
gn:T00214,ftu,Francisella tularensis subsp. tularensis SCHU S4
gn:T00215,sil,Ruegeria pomeroyi DSS-3
gn:T00216,ama,Anaplasma marginale St. Maries
gn:T00217,gka,Geobacillus kaustophilus HTA426
gn:T00218,ilo,Idiomarina loihiensis L2TR
gn:T00219,spt,Salmonella enterica subsp. enterica serovar Paratyphi A ATCC 9150
gn:T00220,ttj,Thermus thermophilus HB8
gn:T00221,zmo,Zymomonas mobilis subsp. mobilis ZM4
gn:T00222,eba,Aromatoleum aromaticum EbN1
gn:T00223,det,Dehalococcoides mccartyi 195 (Dehalococcoides ethenogenes 195)
gn:T00224,eru,Ehrlichia ruminantium Welgevonden (South Africa)
gn:T00225,sac,"Staphylococcus aureus subsp. aureus COL, methicillin-resistant"
gn:T00226,tko,Thermococcus kodakarensis KOD1
gn:T00227,cjr,Campylobacter jejuni RM1221
gn:T00228,bcl,Bacillus clausii KSM-K16
gn:T00229,ser,"Staphylococcus epidermidis RP62A, methicillin-resistant"
gn:T00230,gox,Gluconobacter oxydans 621H
gn:T00231,lac,Lactobacillus acidophilus NCFM
gn:T00232,erg,Ehrlichia ruminantium Gardel
gn:T00233,erw,Ehrlichia ruminantium Welgevonden (France)
gn:T00234,wbm,Wolbachia endosymbiont strain TRS of Brugia malayi
gn:T00235,xoo,Xanthomonas oryzae pv. oryzae KACC 10331
gn:T00236,vfi,Aliivibrio fischeri ES114 (Vibrio fischeri ES114)
gn:T00237,ngo,Neisseria gonorrhoeae FA 1090
gn:T00238,ehi,Entamoeba histolytica
gn:T00239,bfs,Bacteroides fragilis NCTC 9343
gn:T00240,sec,Salmonella enterica subsp. enterica serovar Choleraesuis SC-B67
gn:T00241,bmb,Brucella abortus bv. 1 9-941
gn:T00242,cab,Chlamydia abortus S26/3 (Chlamydophila abortus S26/3)
gn:T00243,cne,Cryptococcus neoformans var. neoformans JEC21 (Filobasidiella neoformans JEC21)
gn:T00244,cgb,Corynebacterium glutamicum ATCC 13032 (Bielefeld)
gn:T00245,ddi,Dictyostelium discoideum AX4 (cellular slime mold)
gn:T00246,psb,Pseudomonas syringae pv. syringae B728a
gn:T00247,xcb,Xanthomonas campestris pv. campestris 8004 (Beijing)
gn:T00248,hit,Haemophilus influenzae 86-028NP (nontypeable)
gn:T00249,pfl,Pseudomonas protegens Pf-5
gn:T00250,sha,Staphylococcus haemolyticus JCSC1435
gn:T00251,sai,Sulfolobus acidocaldarius DSM 639
gn:T00252,rfe,Rickettsia felis URRWXCal2
gn:T00253,tan,Theileria annulata Ankara
gn:T00254,tpv,Theileria parva Muguga
gn:T00255,cjk,Corynebacterium jeikeium K411
gn:T00256,par,Psychrobacter arcticus 273-4
gn:T00257,pub,Candidatus Pelagibacter ubique HTCC1062
gn:T00258,cps,Colwellia psychrerythraea 34H
gn:T00259,dar,Dechloromonas aromatica RCB
gn:T00260,mhj,Mycoplasma hyopneumoniae J
gn:T00261,msy,Mycoplasma synoviae 53
gn:T00262,spz,Streptococcus pyogenes MGAS5005 (serotype M1)
gn:T00263,spb,Streptococcus pyogenes MGAS6180 (serotype M28)
gn:T00264,mhp,Mycoplasma hyopneumoniae 7448
gn:T00265,tfu,Thermobifida fusca YX
gn:T00266,psp,Pseudomonas savastanoi pv. phaseolicola 1448A (Pseudomonas syringae pv. phaseolicola 1448A)
gn:T00267,pmn,Prochlorococcus marinus NATL2A
gn:T00268,reu,Cupriavidus pinatubonensis JMP134 (Ralstonia eutropha JMP134)
gn:T00269,ssp,Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305
gn:T00270,ecn,Ehrlichia canis Jake
gn:T00271,mba,Methanosarcina barkeri Fusaro
gn:T00272,bpn,"Candidatus Blochmannia pennsylvanicus BPEN, endosymbiont of Camponotus pennsylvanicus (carpenter ant)"
gn:T00273,deh,Dehalococcoides mccartyi CBDB1
gn:T00274,ssn,Shigella sonnei Ss046
gn:T00275,tbd,Thiobacillus denitrificans ATCC 25259
gn:T00276,nwi,Nitrobacter winogradskyi Nb-255
gn:T00277,ava,Trichormus variabilis ATCC 29413 (Anabaena variabilis ATCC 29413)
gn:T00278,sak,Streptococcus agalactiae A909 (serotype Ia)
gn:T00279,nph,Natronomonas pharaonis DSM 2160
gn:T00280,cta,Chlamydia trachomatis A/HAR-13
gn:T00281,noc,Nitrosococcus oceani ATCC 19707
gn:T00282,pha,Pseudoalteromonas haloplanktis TAC125
gn:T00283,pfo,Pseudomonas fluorescens Pf0-1
gn:T00284,rsp,Rhodobacter sphaeroides 2.4.1
gn:T00285,pca,Pelobacter carbinolicus DSM 2380
gn:T00286,bur,Burkholderia lata 383 (Burkholderia sp. 383)
gn:T00287,chy,Carboxydothermus hydrogenoformans Z-2901
gn:T00288,xcv,Xanthomonas campestris pv. vesicatoria 85-10
gn:T00289,bpm,Burkholderia pseudomallei 1710b
gn:T00290,cch,Chlorobium chlorochromatii CaD3
gn:T00291,plt,Chlorobium luteolum DSM 273
gn:T00292,syd,Synechococcus sp. CC9605
gn:T00293,sye,Synechococcus sp. CC9902
gn:T00294,dde,Desulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20)
gn:T00295,gme,Geobacter metallireducens GS-15
gn:T00296,tcx,Hydrogenovibrio crunogenus XCL-2 (Thiomicrospira crunogena XCL-2)
gn:T00297,pmi,Prochlorococcus marinus MIT 9312
gn:T00298,tdn,Sulfurimonas denitrificans DSM 1251
gn:T00299,lsa,Lactobacillus sakei subsp. sakei 23K (Lactobacillus sakei 23K)
gn:T00300,syf,Synechococcus elongatus PCC 7942
gn:T00301,sbo,Shigella boydii Sb227 (serotype 4)
gn:T00302,nmu,Nitrosospira multiformis ATCC 25196
gn:T00303,sab,"Staphylococcus aureus RF122/ET3-1, bovine mastitis-causing"
gn:T00304,bmf,Brucella abortus 2308 (Brucella melitensis biovar Abortus 2308)
gn:T00305,mag,Magnetospirillum magneticum AMB-1
gn:T00306,sdy,Shigella dysenteriae Sd197
gn:T00307,hch,Hahella chejuensis KCTC 2396
gn:T00308,mta,Moorella thermoacetica ATCC 39073
gn:T00309,mcp,Mycoplasma capricolum subsp. capricolum ATCC 27343
gn:T00310,rru,Rhodospirillum rubrum ATCC 11170
gn:T00311,bte,Burkholderia thailandensis E264
gn:T00312,sru,Salinibacter ruber DSM 13855
gn:T00313,mst,Methanosphaera stadtmanae DSM 3091
gn:T00314,ayw,Aster yellows witches'-broom phytoplasma AYWB
gn:T00315,eli,Erythrobacter litoralis HTCC2594
gn:T00316,sgl,"Sodalis glossinidius morsitans, endosymbiont of Glossina spp. (tsetse flies)"
gn:T00317,ret,Rhizobium etli CFN 42
gn:T00318,cya,Synechococcus sp. JA-3-3Ab (Cyanobacteria bacterium Yellowstone A-Prime)
gn:T00319,cyb,Synechococcus sp. JA-2-3B'a(2-13) (Cyanobacteria bacterium Yellowstone B-Prime)
gn:T00320,fra,Frankia casuarinae CcI3
gn:T00321,rpb,Rhodopseudomonas palustris HaA2
gn:T00322,nar,Novosphingobium aromaticivorans DSM 12444
gn:T00323,saa,"Staphylococcus aureus subsp. aureus USA300_FPR3757, community-acquired methicillin-resistant"
gn:T00324,sao,Staphylococcus aureus subsp. aureus NCTC 8325
gn:T00325,mhu,Methanospirillum hungatei JF-1
gn:T00326,ade,Anaeromyxobacter dehalogenans 2CP-C
gn:T00327,aph,Anaplasma phagocytophilum HZ
gn:T00328,ech,Ehrlichia chaffeensis Arkansas
gn:T00329,nse,Neorickettsia sennetsu Miyayama
gn:T00330,jan,Jannaschia sp. CCS1
gn:T00331,ftl,Francisella tularensis subsp. holarctica LVS (Live Vaccine Strain)
gn:T00332,cfe,Chlamydia felis Fe/C-56 (Chlamydophila felis Fe/C-56)
gn:T00333,dsy,Desulfitobacterium hafniense Y51
gn:T00334,rfr,Rhodoferax ferrireducens T118 (DSM 15236)
gn:T00335,sde,Saccharophagus degradans 2-40
gn:T00336,rpc,Rhodopseudomonas palustris BisB18
gn:T00337,lsl,Lactobacillus salivarius UCC118
gn:T00338,eci,Escherichia coli O18:K1:H7 UTI89 (UPEC)
gn:T00339,rbe,Rickettsia bellii RML369-C
gn:T00340,bxe,Paraburkholderia xenovorans LB400 (Burkholderia xenovorans LB400)
gn:T00341,mbu,Methanococcoides burtonii DSM 6242
gn:T00342,mfa,Methylobacillus flagellatus KT
gn:T00343,pol,Polaromonas sp. JS666
gn:T00344,sdn,Shewanella denitrificans OS217
gn:T00345,rpd,Rhodopseudomonas palustris BisB5
gn:T00346,sat,Syntrophus aciditrophicus SB
gn:T00347,csa,Chromohalobacter salexigens DSM 3043
gn:T00348,nha,Nitrobacter hamburgensis X14
gn:T00349,bci,"Baumannia cicadellinicola Hc, symbioint of Homalodisca coagulata (glassy-winged sharpshooter)"
gn:T00350,pcr,Psychrobacter cryohalolentis K5
gn:T00351,rme,Cupriavidus metallidurans CH34
gn:T00352,aba,Candidatus Koribacter versatilis Ellin345
gn:T00353,dge,Deinococcus geothermalis DSM 11300
gn:T00354,lip,Lawsonia intracellularis PHE/MN1-00
gn:T00355,sph,Streptococcus pyogenes MGAS10270 (serotype M2)
gn:T00356,spi,Streptococcus pyogenes MGAS10750 (serotype M4)
gn:T00357,spj,Streptococcus pyogenes MGAS2096 (serotype M12)
gn:T00358,spk,Streptococcus pyogenes MGAS9429 (serotype M12)
gn:T00359,sit,Ruegeria sp. TM1040
gn:T00360,xom,Xanthomonas oryzae pv. oryzae MAFF 311018
gn:T00361,sal,Sphingopyxis alaskensis RB2256
gn:T00362,pen,Pseudomonas entomophila L48
gn:T00363,bcn,Burkholderia cenocepacia AU 1054
gn:T00364,ldb,Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842
gn:T00365,hpa,Helicobacter pylori HPAG1
gn:T00366,mxa,Myxococcus xanthus DK 1622
gn:T00367,mmc,Mycobacterium sp. MCS
gn:T00368,rxy,Rubrobacter xylanophilus DSM 9941
gn:T00369,ypa,Yersinia pestis Antiqua (biovar Antiqua)
gn:T00370,ypn,Yersinia pestis Nepal516 (biovar Antiqua)
gn:T00371,hac,Helicobacter acinonychis Sheeba
gn:T00372,pat,Pseudoalteromonas atlantica T6c
gn:T00373,ecp,Escherichia coli O6:K15:H31 536 (UPEC)
gn:T00374,mes,Chelativorans sp. BNC1
gn:T00375,hwa,Haloquadratum walsbyi DSM 16790 (HBSQ001)
gn:T00376,rde,Roseobacter denitrificans OCh 114
gn:T00377,sfv,Shigella flexneri 8401 (serotype 5b)
gn:T00378,cpf,Clostridium perfringens ATCC 13124
gn:T00379,cpr,Clostridium perfringens SM101
gn:T00380,abo,Alcanivorax borkumensis SK2
gn:T00381,ftf,Francisella tularensis subsp. tularensis FSC198
gn:T00382,rha,Rhodococcus jostii RHA1
gn:T00383,baf,Borrelia afzelii PKo (FLI)
gn:T00384,fal,Frankia alni ACN14a
gn:T00385,chu,Cytophaga hutchinsonii ATCC 33406
gn:T00386,hso,Histophilus somni 129PT (Haemophilus somnus 129PT)
gn:T00387,ter,Trichodesmium erythraeum IMS101
gn:T00388,she,Shewanella sp. MR-4
gn:T00389,shm,Shewanella sp. MR-7
gn:T00390,syg,Synechococcus sp. CC9311
gn:T00391,aeh,Alkalilimnicola ehrlichii MLHE-1
gn:T00392,gbe,Granulibacter bethesdensis CGDNIH1
gn:T00393,net,Nitrosomonas eutropha C91
gn:T00394,mmr,Maricaulis maris MCS10
gn:T00395,sfr,Shewanella frigidimarina NCIMB 400
gn:T00396,swo,Syntrophomonas wolfei subsp. wolfei str. Goettingen G311
gn:T00397,hne,Hyphomonas neptunium ATCC 15444
gn:T00398,bam,Burkholderia ambifaria AMMD
gn:T00399,fth,Francisella tularensis subsp. holarctica OSU18
gn:T00400,rpe,Rhodopseudomonas palustris BisA53
gn:T00401,pau,Pseudomonas aeruginosa UCBPP-PA14
gn:T00402,rle,Rhizobium leguminosarum bv. viciae 3841
gn:T00403,crp,"Candidatus Carsonella ruddii PV, endosymbiont of Pachypsylla venusta (hackberry petiole gall psyllid)"
gn:T00404,lbj,Leptospira borgpetersenii serovar Hardjo-bovis JB197
gn:T00405,lbl,Leptospira borgpetersenii serovar Hardjo-bovis L550
gn:T00406,lbr,Lactobacillus brevis ATCC 367
gn:T00407,lca,Lactobacillus paracasei ATCC 334
gn:T00408,ooe,Oenococcus oeni PSU-1
gn:T00409,ppe,Pediococcus pentosaceus ATCC 25745
gn:T00410,lga,Lactobacillus gasseri ATCC 33323
gn:T00411,lme,Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293
gn:T00412,sus,Candidatus Solibacter usitatus Ellin6076
gn:T00413,spd,Streptococcus pneumoniae D39 (virulent serotype 2)
gn:T00414,ste,Streptococcus thermophilus LMD-9
gn:T00415,bch,Burkholderia cenocepacia HI2424
gn:T00416,reh,Cupriavidus necator H16 (Ralstonia eutropha H16)
gn:T00417,mtp,Methanothrix thermoacetophila PT
gn:T00418,sfu,Syntrophobacter fumaroxidans MPOB
gn:T00419,lbu,Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365
gn:T00420,llc,Lactococcus lactis subsp. cremoris SK11
gn:T00421,art,Arthrobacter sp. FB24
gn:T00422,lwe,Listeria welshimeri serovar 6b SLCC5334
gn:T00423,bcc,"Buchnera aphidicola BCc, endosymbiont of Cinara cedri"
gn:T00424,aha,Aeromonas hydrophila subsp. hydrophila ATCC 7966
gn:T00425,ecv,Escherichia coli APEC O1 (Avian pathogenic Escherichia coli)
gn:T00426,ace,Acidothermus cellulolyticus 11B
gn:T00427,mgm,Magnetococcus marinus MC-1
gn:T00428,shn,Shewanella sp. ANA-3
gn:T00429,btl,Bacillus thuringiensis Al Hakam
gn:T00430,cff,Campylobacter fetus subsp. fetus 82-40
gn:T00431,cno,Clostridium novyi NT
gn:T00432,ftn,Francisella tularensis subsp. novicida U112
gn:T00433,mav,Mycobacterium avium 104
gn:T00434,msm,Mycolicibacterium smegmatis MC2 155 (Mycobacterium smegmatis MC2 155)
gn:T00435,mul,Mycobacterium ulcerans Agy99
gn:T00436,ppd,Pelobacter propionicus DSM 2379
gn:T00437,bad,Bifidobacterium adolescentis ATCC 15703
